sezona,rok,tyden_kt,kategorie,virus,pocet
2024_2025,2025,0,Detekce viru,Influenza A,3408
2024_2025,2025,0,Detekce viru,Influenza A/H1N1pdm,398
2024_2025,2025,0,Detekce viru,Influenza A/H3N2,174
2024_2025,2025,0,Detekce viru,Influenza B,2251
2024_2025,2025,0,Detekce viru,RSV,1154
2024_2025,2025,0,Detekce viru,Adenovirus,177
2024_2025,2025,0,Detekce viru,Parainfluenza,412
2024_2025,2025,0,Detekce viru,Herpesvirus,5
2024_2025,2025,0,Detekce viru,Mycoplasma pneumoniae,1989
2024_2025,2025,0,Detekce viru,Metapneumovirus,638
2024_2025,2025,0,Detekce viru,Coronavirus (sezónní),416
2024_2025,2025,0,Detekce viru,Rhinovirus,2308
2024_2025,2025,0,Detekce viru,Bocavirus,59
2024_2025,2025,0,Detekce viru,Enterovirus,107
2024_2025,2025,0,Detekce viru,SARS-CoV-2,1146
2024_2025,2025,0,Detekce viru,Smíšená infekce,739
